participant_id,dataset,oracle,search,task,num_exposed_variable_set
41,movies,dziban,bfs,3. Prediction,88
36,birdstrikes,compassql,dfs,3. Prediction,79
56,movies,dziban,dfs,3. Prediction,78
6,birdstrikes,compassql,dfs,3. Prediction,51
57,birdstrikes,dziban,dfs,3. Prediction,82
7,movies,compassql,dfs,3. Prediction,53
8,movies,dziban,dfs,3. Prediction,62
18,birdstrikes,dziban,dfs,3. Prediction,84
1,birdstrikes,compassql,bfs,3. Prediction,83
19,movies,compassql,dfs,3. Prediction,50
46,movies,dziban,dfs,3. Prediction,58
10,birdstrikes,compassql,bfs,3. Prediction,47
12,movies,compassql,dfs,3. Prediction,55
24,movies,compassql,bfs,3. Prediction,83
17,movies,compassql,dfs,3. Prediction,64
35,movies,compassql,bfs,3. Prediction,70
23,birdstrikes,compassql,dfs,3. Prediction,53
5,movies,dziban,bfs,3. Prediction,55
53,movies,dziban,dfs,3. Prediction,109
44,movies,dziban,bfs,3. Prediction,75
16,birdstrikes,dziban,dfs,3. Prediction,37
60,birdstrikes,compassql,bfs,3. Prediction,72
33,birdstrikes,dziban,bfs,3. Prediction,68
20,birdstrikes,compassql,dfs,3. Prediction,43
29,movies,compassql,bfs,3. Prediction,62
28,birdstrikes,compassql,bfs,3. Prediction,76
9,movies,dziban,bfs,3. Prediction,74
14,movies,compassql,dfs,3. Prediction,48
27,birdstrikes,dziban,bfs,3. Prediction,33
54,movies,dziban,dfs,3. Prediction,117
43,movies,dziban,bfs,3. Prediction,84
42,birdstrikes,dziban,bfs,3. Prediction,73
22,movies,dziban,bfs,3. Prediction,62
47,movies,dziban,bfs,3. Prediction,124
34,birdstrikes,dziban,dfs,3. Prediction,43
11,birdstrikes,compassql,dfs,3. Prediction,51
39,movies,compassql,bfs,3. Prediction,50
49,birdstrikes,compassql,bfs,3. Prediction,48
32,movies,compassql,bfs,3. Prediction,51
3,birdstrikes,compassql,bfs,3. Prediction,44
52,birdstrikes,dziban,bfs,3. Prediction,25
13,birdstrikes,dziban,bfs,3. Prediction,25
25,birdstrikes,dziban,dfs,3. Prediction,24
21,birdstrikes,compassql,dfs,3. Prediction,61
40,birdstrikes,dziban,dfs,3. Prediction,93
45,movies,compassql,dfs,3. Prediction,58
30,movies,dziban,dfs,3. Prediction,68
31,birdstrikes,dziban,dfs,3. Prediction,25
4,movies,compassql,dfs,3. Prediction,76
50,birdstrikes,compassql,dfs,3. Prediction,62
26,birdstrikes,dziban,bfs,3. Prediction,41
59,movies,compassql,bfs,3. Prediction,66
38,movies,compassql,bfs,3. Prediction,38
15,movies,dziban,dfs,3. Prediction,91
58,birdstrikes,dziban,bfs,3. Prediction,64
51,movies,dziban,dfs,3. Prediction,41
55,movies,compassql,dfs,3. Prediction,75
2,birdstrikes,compassql,bfs,3. Prediction,53
37,movies,dziban,bfs,3. Prediction,105
48,birdstrikes,compassql,bfs,3. Prediction,70
5,movies,dziban,bfs,4. Exploration,48
16,birdstrikes,dziban,dfs,4. Exploration,94
60,birdstrikes,compassql,bfs,4. Exploration,58
44,movies,dziban,bfs,4. Exploration,43
53,movies,dziban,dfs,4. Exploration,135
17,movies,compassql,dfs,4. Exploration,63
23,birdstrikes,compassql,dfs,4. Exploration,28
35,movies,compassql,bfs,4. Exploration,109
10,birdstrikes,compassql,bfs,4. Exploration,89
46,movies,dziban,dfs,4. Exploration,105
1,birdstrikes,compassql,bfs,4. Exploration,99
19,movies,compassql,dfs,4. Exploration,49
24,movies,compassql,bfs,4. Exploration,79
12,movies,compassql,dfs,4. Exploration,40
57,birdstrikes,dziban,dfs,4. Exploration,55
7,movies,compassql,dfs,4. Exploration,64
56,movies,dziban,dfs,4. Exploration,93
6,birdstrikes,compassql,dfs,4. Exploration,31
36,birdstrikes,compassql,dfs,4. Exploration,50
41,movies,dziban,bfs,4. Exploration,89
18,birdstrikes,dziban,dfs,4. Exploration,121
8,movies,dziban,dfs,4. Exploration,83
55,movies,compassql,dfs,4. Exploration,46
51,movies,dziban,dfs,4. Exploration,78
15,movies,dziban,dfs,4. Exploration,110
58,birdstrikes,dziban,bfs,4. Exploration,117
38,movies,compassql,bfs,4. Exploration,82
48,birdstrikes,compassql,bfs,4. Exploration,84
37,movies,dziban,bfs,4. Exploration,92
2,birdstrikes,compassql,bfs,4. Exploration,96
40,birdstrikes,dziban,dfs,4. Exploration,96
45,movies,compassql,dfs,4. Exploration,40
21,birdstrikes,compassql,dfs,4. Exploration,39
25,birdstrikes,dziban,dfs,4. Exploration,63
13,birdstrikes,dziban,bfs,4. Exploration,87
59,movies,compassql,bfs,4. Exploration,94
50,birdstrikes,compassql,dfs,4. Exploration,36
26,birdstrikes,dziban,bfs,4. Exploration,72
4,movies,compassql,dfs,4. Exploration,41
31,birdstrikes,dziban,dfs,4. Exploration,14
30,movies,dziban,dfs,4. Exploration,16
39,movies,compassql,bfs,4. Exploration,168
11,birdstrikes,compassql,dfs,4. Exploration,52
47,movies,dziban,bfs,4. Exploration,145
34,birdstrikes,dziban,dfs,4. Exploration,55
22,movies,dziban,bfs,4. Exploration,140
52,birdstrikes,dziban,bfs,4. Exploration,65
3,birdstrikes,compassql,bfs,4. Exploration,130
32,movies,compassql,bfs,4. Exploration,21
49,birdstrikes,compassql,bfs,4. Exploration,79
28,birdstrikes,compassql,bfs,4. Exploration,72
29,movies,compassql,bfs,4. Exploration,108
20,birdstrikes,compassql,dfs,4. Exploration,26
33,birdstrikes,dziban,bfs,4. Exploration,68
42,birdstrikes,dziban,bfs,4. Exploration,97
43,movies,dziban,bfs,4. Exploration,130
27,birdstrikes,dziban,bfs,4. Exploration,101
54,movies,dziban,dfs,4. Exploration,136
9,movies,dziban,bfs,4. Exploration,59
14,movies,compassql,dfs,4. Exploration,31
