participant_id,dataset,oracle,search,task,num_interacted_visual_design
41,movies,dziban,bfs,3. Prediction,51
36,birdstrikes,compassql,dfs,3. Prediction,51
56,movies,dziban,dfs,3. Prediction,30
6,birdstrikes,compassql,dfs,3. Prediction,24
57,birdstrikes,dziban,dfs,3. Prediction,23
7,movies,compassql,dfs,3. Prediction,26
8,movies,dziban,dfs,3. Prediction,20
18,birdstrikes,dziban,dfs,3. Prediction,36
1,birdstrikes,compassql,bfs,3. Prediction,30
19,movies,compassql,dfs,3. Prediction,20
46,movies,dziban,dfs,3. Prediction,15
10,birdstrikes,compassql,bfs,3. Prediction,13
12,movies,compassql,dfs,3. Prediction,16
24,movies,compassql,bfs,3. Prediction,22
17,movies,compassql,dfs,3. Prediction,27
35,movies,compassql,bfs,3. Prediction,31
23,birdstrikes,compassql,dfs,3. Prediction,22
5,movies,dziban,bfs,3. Prediction,17
53,movies,dziban,dfs,3. Prediction,32
44,movies,dziban,bfs,3. Prediction,20
16,birdstrikes,dziban,dfs,3. Prediction,16
60,birdstrikes,compassql,bfs,3. Prediction,34
33,birdstrikes,dziban,bfs,3. Prediction,23
20,birdstrikes,compassql,dfs,3. Prediction,17
29,movies,compassql,bfs,3. Prediction,22
28,birdstrikes,compassql,bfs,3. Prediction,23
9,movies,dziban,bfs,3. Prediction,33
14,movies,compassql,dfs,3. Prediction,16
27,birdstrikes,dziban,bfs,3. Prediction,10
54,movies,dziban,dfs,3. Prediction,36
43,movies,dziban,bfs,3. Prediction,25
42,birdstrikes,dziban,bfs,3. Prediction,21
22,movies,dziban,bfs,3. Prediction,31
47,movies,dziban,bfs,3. Prediction,35
34,birdstrikes,dziban,dfs,3. Prediction,16
11,birdstrikes,compassql,dfs,3. Prediction,16
39,movies,compassql,bfs,3. Prediction,27
49,birdstrikes,compassql,bfs,3. Prediction,15
32,movies,compassql,bfs,3. Prediction,20
3,birdstrikes,compassql,bfs,3. Prediction,12
52,birdstrikes,dziban,bfs,3. Prediction,9
13,birdstrikes,dziban,bfs,3. Prediction,8
25,birdstrikes,dziban,dfs,3. Prediction,13
21,birdstrikes,compassql,dfs,3. Prediction,21
40,birdstrikes,dziban,dfs,3. Prediction,58
45,movies,compassql,dfs,3. Prediction,30
30,movies,dziban,dfs,3. Prediction,28
31,birdstrikes,dziban,dfs,3. Prediction,7
4,movies,compassql,dfs,3. Prediction,41
50,birdstrikes,compassql,dfs,3. Prediction,23
26,birdstrikes,dziban,bfs,3. Prediction,13
59,movies,compassql,bfs,3. Prediction,17
38,movies,compassql,bfs,3. Prediction,13
15,movies,dziban,dfs,3. Prediction,23
58,birdstrikes,dziban,bfs,3. Prediction,22
51,movies,dziban,dfs,3. Prediction,14
55,movies,compassql,dfs,3. Prediction,34
2,birdstrikes,compassql,bfs,3. Prediction,19
37,movies,dziban,bfs,3. Prediction,48
48,birdstrikes,compassql,bfs,3. Prediction,23
5,movies,dziban,bfs,4. Exploration,11
16,birdstrikes,dziban,dfs,4. Exploration,44
60,birdstrikes,compassql,bfs,4. Exploration,11
44,movies,dziban,bfs,4. Exploration,14
53,movies,dziban,dfs,4. Exploration,29
17,movies,compassql,dfs,4. Exploration,22
23,birdstrikes,compassql,dfs,4. Exploration,15
35,movies,compassql,bfs,4. Exploration,40
10,birdstrikes,compassql,bfs,4. Exploration,16
46,movies,dziban,dfs,4. Exploration,22
1,birdstrikes,compassql,bfs,4. Exploration,37
19,movies,compassql,dfs,4. Exploration,15
24,movies,compassql,bfs,4. Exploration,20
12,movies,compassql,dfs,4. Exploration,13
57,birdstrikes,dziban,dfs,4. Exploration,14
7,movies,compassql,dfs,4. Exploration,30
56,movies,dziban,dfs,4. Exploration,28
6,birdstrikes,compassql,dfs,4. Exploration,13
36,birdstrikes,compassql,dfs,4. Exploration,41
41,movies,dziban,bfs,4. Exploration,53
18,birdstrikes,dziban,dfs,4. Exploration,50
8,movies,dziban,dfs,4. Exploration,17
55,movies,compassql,dfs,4. Exploration,23
51,movies,dziban,dfs,4. Exploration,21
15,movies,dziban,dfs,4. Exploration,35
58,birdstrikes,dziban,bfs,4. Exploration,30
38,movies,compassql,bfs,4. Exploration,24
48,birdstrikes,compassql,bfs,4. Exploration,24
37,movies,dziban,bfs,4. Exploration,37
2,birdstrikes,compassql,bfs,4. Exploration,29
40,birdstrikes,dziban,dfs,4. Exploration,38
45,movies,compassql,dfs,4. Exploration,16
21,birdstrikes,compassql,dfs,4. Exploration,21
25,birdstrikes,dziban,dfs,4. Exploration,25
13,birdstrikes,dziban,bfs,4. Exploration,29
59,movies,compassql,bfs,4. Exploration,18
50,birdstrikes,compassql,dfs,4. Exploration,10
26,birdstrikes,dziban,bfs,4. Exploration,23
4,movies,compassql,dfs,4. Exploration,29
31,birdstrikes,dziban,dfs,4. Exploration,6
30,movies,dziban,dfs,4. Exploration,11
39,movies,compassql,bfs,4. Exploration,51
11,birdstrikes,compassql,dfs,4. Exploration,21
47,movies,dziban,bfs,4. Exploration,31
34,birdstrikes,dziban,dfs,4. Exploration,15
22,movies,dziban,bfs,4. Exploration,53
52,birdstrikes,dziban,bfs,4. Exploration,15
3,birdstrikes,compassql,bfs,4. Exploration,42
32,movies,compassql,bfs,4. Exploration,14
49,birdstrikes,compassql,bfs,4. Exploration,24
28,birdstrikes,compassql,bfs,4. Exploration,15
29,movies,compassql,bfs,4. Exploration,43
20,birdstrikes,compassql,dfs,4. Exploration,14
33,birdstrikes,dziban,bfs,4. Exploration,13
42,birdstrikes,dziban,bfs,4. Exploration,29
43,movies,dziban,bfs,4. Exploration,39
27,birdstrikes,dziban,bfs,4. Exploration,31
54,movies,dziban,dfs,4. Exploration,36
9,movies,dziban,bfs,4. Exploration,31
14,movies,compassql,dfs,4. Exploration,9
