"search","metric","dataset","diff_in_time",".lower",".upper",".width",".point",".interval"
"dfs - bfs","4. Exploration","birdstrikes",61.8591909554066,-87.5278294651646,214.257993356229,0.95,"mean","qi"
"dfs - bfs","4. Exploration","movies",-70.102625463056,-210.442072818756,76.9311362625045,0.95,"mean","qi"
"dfs - bfs","3. Prediction","birdstrikes",134.955848088265,-41.1998900591823,314.423035971385,0.95,"mean","qi"
"dfs - bfs","3. Prediction","movies",107.340904631537,-90.9922092964765,305.134123120438,0.95,"mean","qi"
"dfs - bfs","2. Retrieve Value","birdstrikes",-2.22725296865964,-76.125771263852,73.3676121227959,0.95,"mean","qi"
"dfs - bfs","2. Retrieve Value","movies",2.9829243780381,-66.3620030593239,70.5231762338994,0.95,"mean","qi"
"dfs - bfs","1. Find Extremum","birdstrikes",2.12275661880576,-94.1882762781216,96.0701019082654,0.95,"mean","qi"
"dfs - bfs","1. Find Extremum","movies",-38.8917546768441,-116.39165877427,33.0932561268119,0.95,"mean","qi"
"dfs - bfs","4. Exploration","birdstrikes",61.8591909554066,9.8923279948433,112.157335838803,0.5,"mean","qi"
"dfs - bfs","4. Exploration","movies",-70.102625463056,-117.194567151171,-23.8960063851349,0.5,"mean","qi"
"dfs - bfs","3. Prediction","birdstrikes",134.955848088265,74.4782540241833,194.889938591948,0.5,"mean","qi"
"dfs - bfs","3. Prediction","movies",107.340904631537,43.7575318735787,174.550806189472,0.5,"mean","qi"
"dfs - bfs","2. Retrieve Value","birdstrikes",-2.22725296865964,-28.1018539778193,22.303700678136,0.5,"mean","qi"
"dfs - bfs","2. Retrieve Value","movies",2.9829243780381,-18.941918315058,26.1136272168335,0.5,"mean","qi"
"dfs - bfs","1. Find Extremum","birdstrikes",2.12275661880576,-28.708747342818,33.3493084666128,0.5,"mean","qi"
"dfs - bfs","1. Find Extremum","movies",-38.8917546768441,-63.8441791904487,-13.4550622004779,0.5,"mean","qi"
