"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"1. Find Extremum","compassql","bfs",0.599775119887759,0.131824335167941,1.06706439443653,0.95,"mean","qi"
"1. Find Extremum","compassql","dfs",-0.106855876978357,-0.610506316484771,0.399705030486872,0.95,"mean","qi"
"1. Find Extremum","dziban","bfs",0.489842432687651,-0.0125273596197528,0.988193851657317,0.95,"mean","qi"
"1. Find Extremum","dziban","dfs",0.245571932078277,-0.286702487444574,0.792617995544263,0.95,"mean","qi"
"2. Retrieve Value","compassql","bfs",0.379269246472596,-0.174478259696495,0.9219871626155,0.95,"mean","qi"
"2. Retrieve Value","compassql","dfs",-0.396272963559443,-0.935642132366535,0.168330411642588,0.95,"mean","qi"
"2. Retrieve Value","dziban","bfs",0.335186591916429,-0.240405986327826,0.882954819214272,0.95,"mean","qi"
"2. Retrieve Value","dziban","dfs",0.0564496224354321,-0.521529403899161,0.640313369246895,0.95,"mean","qi"
"3. Prediction","compassql","bfs",0.58866059282295,0.0312511096018963,1.14839663897857,0.95,"mean","qi"
"3. Prediction","compassql","dfs",-0.108835740955454,-0.645014861950439,0.460820399660344,0.95,"mean","qi"
"3. Prediction","dziban","bfs",1.04974273466052,0.486047228093537,1.60918539967363,0.95,"mean","qi"
"3. Prediction","dziban","dfs",0.434436799031148,-0.12689837306257,0.985144232835171,0.95,"mean","qi"
"4. Exploration","compassql","bfs",0.734248564961306,0.215992918247236,1.27429479634501,0.95,"mean","qi"
"4. Exploration","compassql","dfs",0.176221174125336,-0.357927740734282,0.73836160104025,0.95,"mean","qi"
"4. Exploration","dziban","bfs",0.840577497359232,0.290722397809454,1.40673911173139,0.95,"mean","qi"
"4. Exploration","dziban","dfs",0.670293506767432,0.09496806054487,1.24672780835903,0.95,"mean","qi"
"1. Find Extremum","compassql","bfs",0.599775119887759,0.444335942899632,0.761498401290934,0.5,"mean","qi"
"1. Find Extremum","compassql","dfs",-0.106855876978357,-0.282995873102786,0.068183579976481,0.5,"mean","qi"
"1. Find Extremum","dziban","bfs",0.489842432687651,0.313581447256065,0.661219673186477,0.5,"mean","qi"
"1. Find Extremum","dziban","dfs",0.245571932078277,0.0641765920858485,0.429867572474267,0.5,"mean","qi"
"2. Retrieve Value","compassql","bfs",0.379269246472596,0.189783619141917,0.567023662692083,0.5,"mean","qi"
"2. Retrieve Value","compassql","dfs",-0.396272963559443,-0.588320909061462,-0.210405920434268,0.5,"mean","qi"
"2. Retrieve Value","dziban","bfs",0.335186591916429,0.139778275277698,0.527098990896246,0.5,"mean","qi"
"2. Retrieve Value","dziban","dfs",0.0564496224354321,-0.142531591717985,0.24849115663436,0.5,"mean","qi"
"3. Prediction","compassql","bfs",0.58866059282295,0.393482424530825,0.773933372623973,0.5,"mean","qi"
"3. Prediction","compassql","dfs",-0.108835740955454,-0.297531111142104,0.0784269622548743,0.5,"mean","qi"
"3. Prediction","dziban","bfs",1.04974273466052,0.85881630934858,1.23386304359045,0.5,"mean","qi"
"3. Prediction","dziban","dfs",0.434436799031148,0.245945618156594,0.625446769006839,0.5,"mean","qi"
"4. Exploration","compassql","bfs",0.734248564961306,0.544890868674338,0.922002769745015,0.5,"mean","qi"
"4. Exploration","compassql","dfs",0.176221174125336,-0.0105588208507012,0.361576465416072,0.5,"mean","qi"
"4. Exploration","dziban","bfs",0.840577497359232,0.649206646965074,1.02786824022844,0.5,"mean","qi"
"4. Exploration","dziban","dfs",0.670293506767432,0.471622585229395,0.869029792289456,0.5,"mean","qi"
