"oracle","diff_in_rating",".lower",".upper",".width",".point",".interval","metric"
"dziban - compassql",0.238631034482759,-0.0115014367816088,0.492837643678161,0.95,"mean","qi","confidence.udata"
"dziban - compassql",0.238631034482759,0.151149425287356,0.323922413793104,0.5,"mean","qi","confidence.udata"
"dziban - compassql",0.18899837164751,-0.0732902298850572,0.456630747126437,0.95,"mean","qi","confidence.ans"
"dziban - compassql",0.18899837164751,0.097701149425288,0.279022988505747,0.5,"mean","qi","confidence.ans"
"dziban - compassql",0.28897183908046,-0.106041666666666,0.673002873563219,0.95,"mean","qi","efficiency"
"dziban - compassql",0.28897183908046,0.162068965517241,0.419827586206897,0.5,"mean","qi","efficiency"
"dziban - compassql",0.137580555555556,-0.201752873563218,0.472126436781609,0.95,"mean","qi","ease.of.use"
"dziban - compassql",0.137580555555556,0.0194683908045976,0.257758620689655,0.5,"mean","qi","ease.of.use"
"dziban - compassql",0.299188984674329,-0.113814655172414,0.699425287356322,0.95,"mean","qi","utility"
"dziban - compassql",0.299188984674329,0.155172413793104,0.440014367816092,0.5,"mean","qi","utility"
"dziban - compassql",0.159448659003831,-0.174159482758621,0.493987068965517,0.95,"mean","qi","overall"
"dziban - compassql",0.159448659003831,0.042528735632184,0.275359195402299,0.5,"mean","qi","overall"
