"search","oracle","dataset","task",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes","1. Find Extremum",0.749920659199078,0.582671271911762,0.877177768335263,0.95,"mean","qi"
"bfs","compassql","birdstrikes","2. Retrieve Value",0.827702095212238,0.605422403344172,0.954581054196086,0.95,"mean","qi"
"bfs","compassql","movies","1. Find Extremum",0.805815258108263,0.564450129188493,0.956613750800054,0.95,"mean","qi"
"bfs","compassql","movies","2. Retrieve Value",0.869793254738478,0.664567416852818,0.981258866015103,0.95,"mean","qi"
"bfs","dziban","birdstrikes","1. Find Extremum",0.934828899814685,0.785443826766392,0.994547211047144,0.95,"mean","qi"
"bfs","dziban","birdstrikes","2. Retrieve Value",0.958485484630865,0.845044906279667,0.996972263896032,0.95,"mean","qi"
"bfs","dziban","movies","1. Find Extremum",0.952739991052652,0.834332675056673,0.997346939465227,0.95,"mean","qi"
"bfs","dziban","movies","2. Retrieve Value",0.971119505826461,0.894984691257711,0.998585152766548,0.95,"mean","qi"
"dfs","compassql","birdstrikes","1. Find Extremum",0.936569209425822,0.798264162327758,0.993825580966853,0.95,"mean","qi"
"dfs","compassql","birdstrikes","2. Retrieve Value",0.959209130075749,0.850532310782537,0.997137110261245,0.95,"mean","qi"
"dfs","compassql","movies","1. Find Extremum",0.952921969348252,0.829753565799223,0.997449656695201,0.95,"mean","qi"
"dfs","compassql","movies","2. Retrieve Value",0.970949147796879,0.888227980536652,0.998721292121506,0.95,"mean","qi"
"dfs","dziban","birdstrikes","1. Find Extremum",0.877312936772549,0.665476268340497,0.988681554828171,0.95,"mean","qi"
"dfs","dziban","birdstrikes","2. Retrieve Value",0.920637179625277,0.750251193073576,0.994301069058727,0.95,"mean","qi"
"dfs","dziban","movies","1. Find Extremum",0.908149527997786,0.719942287467928,0.995274816994464,0.95,"mean","qi"
"dfs","dziban","movies","2. Retrieve Value",0.942817976901843,0.809727308169632,0.997512024986515,0.95,"mean","qi"
"bfs","compassql","birdstrikes","1. Find Extremum",0.749920659199078,0.703336521475952,0.80504318560958,0.5,"mean","qi"
"bfs","compassql","birdstrikes","2. Retrieve Value",0.827702095212238,0.779269567510033,0.89383098217145,0.5,"mean","qi"
"bfs","compassql","movies","1. Find Extremum",0.805815258108263,0.74625879662659,0.881229931127284,0.5,"mean","qi"
"bfs","compassql","movies","2. Retrieve Value",0.869793254738478,0.824017265933196,0.934522429599162,0.5,"mean","qi"
"bfs","dziban","birdstrikes","1. Find Extremum",0.934828899814685,0.912233671292791,0.973990173236167,0.5,"mean","qi"
"bfs","dziban","birdstrikes","2. Retrieve Value",0.958485484630865,0.945973968370328,0.985975794899318,0.5,"mean","qi"
"bfs","dziban","movies","1. Find Extremum",0.952739991052652,0.936045520254485,0.983743220819603,0.5,"mean","qi"
"bfs","dziban","movies","2. Retrieve Value",0.971119505826461,0.961168208369157,0.991041752048628,0.5,"mean","qi"
"dfs","compassql","birdstrikes","1. Find Extremum",0.936569209425822,0.914881227722256,0.97405698913146,0.5,"mean","qi"
"dfs","compassql","birdstrikes","2. Retrieve Value",0.959209130075749,0.946802320035276,0.98601852152065,0.5,"mean","qi"
"dfs","compassql","movies","1. Find Extremum",0.952921969348252,0.936091788417744,0.984135293608619,0.5,"mean","qi"
"dfs","compassql","movies","2. Retrieve Value",0.970949147796879,0.961323920670981,0.991424104340815,0.5,"mean","qi"
"dfs","dziban","birdstrikes","1. Find Extremum",0.877312936772549,0.828893523314248,0.942644328432608,0.5,"mean","qi"
"dfs","dziban","birdstrikes","2. Retrieve Value",0.920637179625277,0.890179950945883,0.967756313399377,0.5,"mean","qi"
"dfs","dziban","movies","1. Find Extremum",0.908149527997786,0.871531042510374,0.963166835974204,0.5,"mean","qi"
"dfs","dziban","movies","2. Retrieve Value",0.942817976901843,0.92206030082558,0.979544312266703,0.5,"mean","qi"
