"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",22.4386171205453,17.2929075796675,27.6674723477426,0.95,"mean","qi"
"bfs","compassql","movies",25.9356156827981,20.759520231582,31.3629305902639,0.95,"mean","qi"
"bfs","dziban","birdstrikes",24.0335348388853,18.6658576107259,29.6364868321603,0.95,"mean","qi"
"bfs","dziban","movies",27.5305334011381,22.2259675156614,32.7934418228778,0.95,"mean","qi"
"dfs","compassql","birdstrikes",21.6472476953122,16.2007594311324,27.2059827358928,0.95,"mean","qi"
"dfs","compassql","movies",25.144246257565,19.9074281883506,30.3986009713207,0.95,"mean","qi"
"dfs","dziban","birdstrikes",23.1035612058176,17.7455254726371,28.4974932887308,0.95,"mean","qi"
"dfs","dziban","movies",26.6005597680704,21.3304626953079,31.809568484871,0.95,"mean","qi"
"bfs","compassql","birdstrikes",22.4386171205453,20.7116725917035,24.1724712401833,0.5,"mean","qi"
"bfs","compassql","movies",25.9356156827981,24.0982991621829,27.7098128460877,0.5,"mean","qi"
"bfs","dziban","birdstrikes",24.0335348388853,22.2307716647782,25.8613581231533,0.5,"mean","qi"
"bfs","dziban","movies",27.5305334011381,25.7797373290208,29.2583963354819,0.5,"mean","qi"
"dfs","compassql","birdstrikes",21.6472476953122,19.7565297476123,23.488871943264,0.5,"mean","qi"
"dfs","compassql","movies",25.144246257565,23.3341340245263,26.9802941742367,0.5,"mean","qi"
"dfs","dziban","birdstrikes",23.1035612058176,21.2375796345337,25.0155116285952,0.5,"mean","qi"
"dfs","dziban","movies",26.6005597680704,24.8232825899718,28.3915436827089,0.5,"mean","qi"
